VKM;Keeper Name;Country;Status;Website
CHEMS;Chems, a.s. Humenné;SK;in use;
CHESS;Chess sp. z o.o.;PL;in use;
CHMGS;CHEMGAS HOLDING CORPORATION SRL;RO;in use;
CHMT;LANXESS Organometallics GmbH;DE;in use;lanxess.com
CHMU;Chemetall GmbH;DE;in use;chemetall.com
CHR;Cement Hranice, akciová společnost;CZ;in use;
CHRIS;Dennis Christensen Kfz-Onlinehandel;DE;in use;
CHSLO;Chemko, a.s. Slovakia;SK;in use;chemko.sk
CHSMK;Chojnickie Stowarzyszenie Miłośników Kolei;PL;in use;smk-chojnice.pl
CHTHB;Chládek a Tintěra Havlíčkův Brod, a.s.;CZ;in use;chladek-tintera.cz
CHTLT;Chládek & Tintěra, a.s.;CZ;in use;
CHTPC;Chládek a Tintěra, Pardubice a.s.;CZ;in use;cht-pce.cz
CHUE;Chemie Uetikon AG;CH;Revoked;uetikon.ch
CHVDP;Verein Dispopendel;CH;in use;vereindispopendel.ch
CIAY;Cİ - AY MÜH. MİMARLIK İNŞ. ÖZEL SAĞLIK HİZ. EMLAK TURİZM SAN. VE TİC. LTD. ŞTİ;TR;in use;
CICA;CISA SA;CH;in use;cica.ch
CIE;Iarnrod Eireann (Coras Iompair Eireann);IE;Blocked;cie.ie
CIER;Compagnie Internationale des Evénements sur Rail s.à.r.l.;LU;in use;cier.lu
CIMP;Cimpor - Cimentos de Portugal, SA;PT;in use;cimpor.pt
CIN;CINKARNA CELJE D.D.;SI;in use;
CIOSC;CIOS Cargo;HR;in use;ciosgrupa.com
CIS;Cisalpino SA;CH;Revoked;cisalpino.com
CITEV;CITEV (Compagnie Internationale des Trains Express à Vapeur);FR;in use;trainavapeur.com
CITR;CONSTRUCCIONES INSTALACIÓN Y TRACCIÓN, S.A.U.;ES;in use;citracc.com
CIWL;Compagnie des Wagon-Lits;BE;in use;wagons-lits-paris.com
CJ;Compagnie des chemins de fer du Jura;CH;in use;cj-transports.ch
CKD;Chemle Kelhelm GmbH;DE;in use;chemie-kelheim.de
CKL;CTL Chemkol Sp. Z o.o.;PL;in use;ctl.pl
SKM;„СКМ Интернешънъл” ЕАД;BG;in use;
CKOCH;Christian Koch;DE;in use;
CKTZ;Centar za Kombinirani Transport Zagreb d.d.;HR;in use;cktz.hr
CL;Cargolink AS;NO;in use;cargolink.no
CLARI;Weylchem Lamotte SAS;FR;in use;weylchem.com
